Area,Longitude,Latitude,,,,
Ang Mo Kio,103.837993360863,1.36875041500146,,,,
Bedok,103.953606893311,1.3250154192423,,,,
Bishan,103.852047817533,1.34752183684457,,,,
Boon Lay,103.705845404968,1.3384932851595,,,,
Bukit Batok,103.753493493145,1.34379418142098,,,,
Bukit Merah,103.820830012818,1.28352755166466,,,,
Bukit Panjang,103.761928633149,1.38406017042574,,,,
Bukit Timah,103.808544915671,1.32474200223993,,,,
Changi Airport,103.989670344538,1.36033174518932,,,,
Choa Chu Kang,103.750283750092,1.37753458068331,,,,
Clementi,103.764423054189,1.31489619639364,,,,
Geylang,103.89777455271,1.31740511166911,,,,
Hougang,103.894113954924,1.36376463939132,,,,
Jurong East,103.743075430286,1.33640566975239,,,,
Jurong West,103.694120770174,1.33854905214165,,,,
Kallang,103.875816106701,1.32288161324497,,,,
Lim Chu Kang,103.707546075103,1.4374082084628,,,,
Mandai,103.758241919134,1.40959643002779,,,,
Marina East,103.852883150355,1.27803242230386,,,,
Marina South,103.863574321728,1.27455475919138,,,,
Marine Parade,103.9077387936,1.30248202632175,,,,
Museum,103.849078460269,1.29428903440528,,,,
Newton,103.841183539314,1.31756869967119,,,,
Novena,103.843393016962,1.32376633231592,,,,
Orchard,103.832738122117,1.30300219195609,,,,
Outram,103.83444531186,1.28559658640196,,,,
Pasir Ris,103.948508528078,1.37411152941485,,,,
Paya Lebar,103.891475654733,1.31752143815241,,,,
Pioneer,103.69564479915,1.32127392312963,,,,
Punggol,103.899130108061,1.40373248950282,,,,
Queenstown,103.806179465908,1.29425031276396,,,,
River Valley,103.838522905672,1.29612147733532,,,,
Rochor,103.852769429428,1.30385218555028,,,,
Seletar,103.87575258823,1.38452486427503,,,,
Sembawang,103.818694758377,1.44947592984592,,,,
Sengkang,103.892721008018,1.38298163230717,,,,
Serangoon,103.855146819671,1.31078075190145,,,,
Simpang,103.834781640344,1.44748008137617,,,,
Singapore River,103.852444208335,1.28724567664869,,,,
Straits View,103.85296382295,1.27888124036501,,,,
Sungei Kadut,103.749579711619,1.40657769211707,,,,
Tampines,103.941897122674,1.35463583876061,,,,
Tanglin,103.816395556398,1.29484763988272,,,,
Tengah,103.73788984525,1.35941522167954,,,,
Toa Payoh,103.861040942076,1.33494359065961,,,,
Tuas,103.637369500138,1.31883639024515,,,,
Woodlands,103.768574470072,1.44568445237464,,,,
Yishun,103.833652972153,1.43493756122112,,,,